id,pn,name,googled,Eigentümer,Betreiber,unknonw,Dynastie,Quelle
,141b,Admiral Arena Prater,1,,Johann F. Graf (NOVOMATIC Gaming Industries GmbH),FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=6319ee0a-ce84-4742-825e-6ba473542ef0
,141b,Sportsbar,,,Johann F. Graf (NOVOMATIC Gaming Industries GmbH),FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=6319ee0a-ce84-4742-825e-6ba473542ef0
,14,Bistro Box - Self Service,1,"Wolfgang Gruber, Iris Gruber (Gruber Freizeitanlagen GmbH); Stand: 2014",,FALSE,Gruber,http://www.bistrobox.com/wp-content/uploads/2017/05/Medieninfo_BistroBox_Wien_Mai2017.pdf
,115b,Meierei im Prater,1,Sabine Chum; Stand: 2009,Sabine Holzdorfer,FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=5a5cfe92-9337-4173-9f8f-41120ba5c6c5
,121,Freizeitareal Praterfee,,,Elisabeth Kolarik (Kolarik's Freizeitbetriebe GmbH),FALSE,Kolarik,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=b278140e-b929-4e57-b014-1f3f89563d10 / https://kolarik.at/en/places/freizeitareal-praterfee-2/
,121,Kolariks Praterfee,,,Elisabeth Kolarik (Kolarik's Freizeitbetriebe GmbH),FALSE,Kolarik,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=b278140e-b929-4e57-b014-1f3f89563d10
,121,Kolariks Feenzelt,,,Elisabeth Kolarik (Kolarik's Freizeitbetriebe GmbH),FALSE,Kolarik,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=b278140e-b929-4e57-b014-1f3f89563d10 / https://kolarik.at/en/places/kolariks-feenzelt-2/
,128a,Kolariks Luftburg,,,Elisabeth Kolarik (Kolarik's Freizeitbetriebe GmbH),FALSE,Kolarik,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=b278140e-b929-4e57-b014-1f3f89563d10
,128a,Kolariks Kinderwelt,,,Elisabeth Kolarik (Kolarik's Freizeitbetriebe GmbH),FALSE,Kolarik,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=b278140e-b929-4e57-b014-1f3f89563d10
,135,Vie I Pee Club – Nightlife,,,Ho Anh Tuan (DOTS Prater GmbH),FALSE,,http://vieipee.com/impressum/
,135,Pratersauna - Nightlife,,,"Stefan Hiess, Markus Plech, Johannes Weiß (Pratersauna Betriebs GmbH)",FALSE,,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=628fe2e7-1a8a-4421-9ef5-72abea0d27a3&StandortID=0&Suchbegriff=pratersauna&Page=1
,131b,Gartenbuffet,,,,TRUE,,
