gkz,name,nur Caritas?,Kategorie,Kinder insgesamt,Jänner: Kinder in Nachmittagsbetreuung,März: Kinder in Nachmittagsbetreuung,Differenz,Prozentuelle Änderung,Karte-Text,Telefonnummer
41809,Holzhausen,Nein,Alles da,69,28,16,-12,-42.85714286,,+437243 / 57 1 55
40614,Pregarten,Nein,Alles da,147,56,45,-11,-19.64285714,,+437236 / 2255 - 0
41227,Sankt Marienkirchen am Hausruck,Nein,Alles da,33,11,0,-11,-100,"Nachmittagsbetreuung nur montags, ist jetzt aber weggefallen",+437753 / 2812
41402,Andorf,Nein,Alles da,150,29,18,-11,-37.93103448,,+437766 / 2255
40511,Scharten,Nein,Alles da,109,90,80,-10,-11.11111111,Abmeldung wegen Kosten,+437272 / 5255
41019,Pucking,Nein,Alles da,144,40,30,-10,-25,,+437229 / 88 9 11
41112,Mitterkirchen im Machland,Nein,Alles da,59,20,10,-10,-50,,+437269 / 8255 - 0
41226,Sankt Georgen bei Obernberg am Inn,Nein,Alles da,25,19,9,-10,-52.63157895,,+437758 / 2355
41819,Sipbachzell,Nein,Alles da,91,30,20,-10,-33.33333333,,+437240 / 8155 - 15
40835,Peuerbach,Nein,Alles da,56,17,7,-10,-58.82352941,,#N/A
40808,Grieskirchen,Nein,Alles da,211,27,18,-9,-33.33333333,"Tendenz wieder steigend, da Eltern merken, dass es doch kein allzu hoher Betrag ist",+437248 / 62255 - 0
41119,Sankt Georgen am Walde,Nein,Alles da,52,13,4,-9,-69.23076923,,+437954 / 3030
41618,Puchenau,Nein,Alles da,82,60,51,-9,-15,,+43732 / 22 10 55 - 0
41721,Oberwang,Nein,Alles da,60,19,10,-9,-47.36842105,,+436233 / 8217
41733,Rutzenham,Nein,Alles da,65,26,17,-9,-34.61538462,aus Kostengründen hauptsächlich,+437673 / 2445
41220,Ort im Innkreis,Nein,Alles da,51,17,8.5,-8.5,-50,,+437751 / 8314
41626,Walding,Nein,Alles da,135,60.5,52,-8.5,-14.04958678,,+437234 / 82 3 02
40913,Ried im Traunkreis,Nein,Alles da,100,17,9,-8,-47.05882353,Kindergarten hatte auch vorher schon nur eine gruppe gehabt und sperrt um 14.30 Uhr zu.,+437588 / 7255
41113,Münzbach,Nein,Alles da,78,13,5,-8,-61.53846154,,+437264 / 4555
41409,Esternberg,Nein,Alles da,56,14,6,-8,-57.14285714,,+437714 / 6655
41609,Gramastetten,Nein,Alles da,154,68,60,-8,-11.76470588,"Es gab vorher eine ""Schulanfänger NM Betreuung"" an einem Nachmittag, von der haben sich viele abgemeldet. Problematisch war es auch für die Krabbelgruppe, weil die Kinder schlafen von 12:30 bis 13:30 (ab 13 uhr zahlt man) also ist es den Eltern nicht möglich, die Kinder abzuholen und deshalb müssen sie zahlen - hat viel Unmut ausgelöst.",+437239 / 8155 - 0
41612,Herzogsdorf,Nein,Alles da,93,35,27,-8,-22.85714286,,+437231 / 2255 - 20
41720,Oberndorf bei Schwanenstadt,Nein,Alles da,54,16,8,-8,-50,,+437673 / 2356
41207,Geinberg,Nein,Alles da,56,12,4.3,-7.7,-64.16666667,,+437723 / 8155 - 0
41501,Adlwang,Nein,Alles da,77,25,17.5,-7.5,-30,"Fünf Kinder wurden abgemeldet, 3 Kinder sind jetzt weniger Tage da (2 bis 3 Tage).",+437258 / 7455
41204,Eberschwang,Ja,Alles da,88,27,20,-7,-25.92592593,,+437753 / 2255
40425,Moosdorf,Nein,Alles da,61,13,6,-7,-53.84615385,,+437748 / 2666 - 0
40504,Fraham,Nein,Alles da,69,22,15,-7,-31.81818182,,+437272 / 2315
40602,Grünbach,Nein,Alles da,73,35,28,-7,-20,"Abmeldungen, weil die Kinder nur bis 13:15 Uhr blieben - dafür zu hoher Beitrag. ",+437942 / 72 81 3 - 0
40607,Kefermarkt,Nein,Alles da,26,26,19,-7,-26.92307692,,+437947 / 5910
40901,Edlbach,Nein,Alles da,17,10,3,-7,-70,"vor der Einführung der Gebühren waren es je nach Woche 7-10 Kinder (war im Kindergarten immer sehr frei, wann die Kinder in NB gegangen sind), nächstes Jahr wird es keine NB mehr geben und die Hilfe vom Land ist schon dieses gestrichen worden, weil die Gruppe zu klein ist",+437562 / 5225
41122,Sankt Thomas am Blasenstein,Nein,Alles da,23,14,7,-7,-50,,+437265 / 5455
41321,Neufelden,Nein,Alles da,49,12,5,-7,-58.33333333,"Gründen größtenteils wegen Kosten, ab Herbst werden sie wieder 10 Kinder haben in Nachmittagsbetreuung",+437282 / 6255
41338,Sarleinsbach,Nein,Alles da,112,37,30,-7,-18.91891892,,+437283 / 8255
41522,Weyer,Nein,Alles da,105,22,15,-7,-31.81818182,Abmeldungen wegen der Kosten,+437355 / 6255
40821,Pollham,Nein,Alles da,30,11,4.5,-6.5,-59.09090909,,+437248 / 68 7 12
41716,Neukirchen an der Vöckla,Nein,Alles da,65,10.5,4.25,-6.25,-59.52380952,Durchschnittliche Werte: von 8-13 kinder vorher auf 3-5 kinder nachher.,+437682 / 7155
40406,Eggelsberg,Nein,Alles da,64,22,16,-6,-27.27272727,,+437748 / 2255
40612,Neumarkt im Mühlkreis,Nein,Alles da,102,39,33,-6,-15.38461538,"Viele Abmeldungen wegen Gebühren, aber auch Ummeldungen - z.B. Zwei-Tages-Tarif statt Fünf-Tages-Tarif",+437941 / 8255 - 0
40812,Kallham,Nein,Alles da,78,13,7,-6,-46.15384615,Viele Kinder waren nur Mittagessen und wurden wegen der Gebühren abgemeldet,+437733 / 7355
41305,Arnreit,Nein,Alles da,51,26,20,-6,-23.07692308,,+437282 / 7013
41312,Hofkirchen im Mühlkreis,Nein,Alles da,64,17,11,-6,-35.29411765,,+437285 / 7011 - 0
41811,Lambach,Nein,Alles da,107,36,30,-6,-16.66666667,Daten nur für Gemeinde-Kindergarten. ,+437245 / 28 3 55 - 0
40413,Helpfau-Uttendorf,Nein,keine Auskunft,,27,21,-6,-22.22222222,"Einige Abmeldungen wegen Gebühren, andere weil kein Bedarf mehr vorhanden. ",+437724 / 2016
41515,Schiedlberg,Nein,Alles da,52,12.5,7.25,-5.25,-42,,+437251 / 255
41620,Reichenthal,Ja,Alles da,50,13.5,8.5,-5,-37.03703704,Kinder aus Kostengründen abgemeldet.,+437214 / 7007
40414,Hochburg-Ach,Nein,Alles da,104,45,40,-5,-11.11111111,,+437727 / 2255
40437,Sankt Pantaleon,Nein,Alles da,95,29,24,-5,-17.24137931,,+436277 / 7990
40438,Sankt Peter am Hart,Nein,Alles da,66,20,15,-5,-25,Krabbelstube hat keine Nachmittagsbetreuung,+437722 / 62 8 43
40615,Rainbach im Mühlkreis,Nein,Alles da,120,40,35,-5,-12.5,,+437949 / 6255 - 0
40708,Gschwandt,Nein,Alles da,110,18,13,-5,-27.77777778,"Abmeldungen, weil viele Kinder nur einen Tag dort waren.",+437612 / 626 15 - 0
40718,Traunkirchen,Nein,Alles da,74,20,15,-5,-25,"Je nach Tag unterschiedlich viele Kinder (10-20), vorher je nach Tag (15-25). [nur die Kinder aus dem Kindergarten]",+437617 / 2255
40914,Rosenau am Hengstpaß,Nein,Alles da,15,15,10,-5,-33.33333333,Die zehn Kinder werden dann ab 12 zu unterscheidlichen Zeiten abgeholt.,+437566 / 255
41101,Allerheiligen im Mühlkreis,Nein,Alles da,45,15,10,-5,-33.33333333,,+437262 / 58 0 12
41108,Bad Kreuzen,Nein,Alles da,47,12,7,-5,-41.66666667,Ca. 45-50 Kinder insgesamt in Betreuung. Nach Einführung der Gebühren je nach Tag 7-8 Kinder in Nachmittagsbetreuung.,+437266 / 6255
41225,Ried im Innkreis,Nein,Alles da,165,59,54,-5,-8.474576271,,+437752 / 901 -0
41401,Altschwendt,Nein,Alles da,30,15,10,-5,-33.33333333,,+437762 / 2605
40416,Jeging,Nein,keine Betreuung/Kooperation,,10,5,-5,-50,,+437744 / 6209
40415,Höhnhart,Ja,Alles da,n.v.,24,20,-4,-16.66666667,,+437755 / 5115
40402,Aspach,Nein,Alles da,90,17,13,-4,-23.52941176,,+437755 / 7355
40434,Roßbach,Nein,Alles da,35,15,11,-4,-26.66666667,,+437724 / 8110
40443,Tarsdorf,Nein,Alles da,51,17,13,-4,-23.52941176,Abmeldung wegen Kosten,+436278 / 8103
40706,Gosau,Nein,Alles da,49,11,7,-4,-36.36363636,Zahl der Kinder insgesamt hat sich im Mai auf 49 erhöht. ,+436136 / 8821 - 0
40712,Obertraun,Nein,Alles da,16,7,3,-4,-57.14285714,Abmeldungen wegen der Kosten.,+436131 / 342
41015,Niederneukirchen,Nein,Alles da,77,35,31,-4,-11.42857143,,+437224 / 7155
41126,Windhaag bei Perg,Nein,Alles da,52,16,12,-4,-25,,+437264 / 4255
41604,Eidenberg,Nein,Alles da,76,24,20,-4,-16.66666667,,+437239 / 5055
41711,Gampern,Nein,Alles da,106,32,28,-4,-12.5,,+437682 / 8045
41722,Ottnang am Hausruck,Nein,Alles da,133,22,18,-4,-18.18181818,"2 Kindergärten: Kindergarten Thomasroith hatte 4 Abmeldungen. Das Problem ist, dass der Kiga bis 14 Uhr offen hat und die Eltern für eine Stunde Nachmittagsbetreuung bezahlen müssten. Anderer Kindergarten hat 66 Kinder insgesamt, 15 in Nachmittagsbetreuung - keine Veränderungen.",+437676 / 7255
41742,Tiefgraben,Nein,Alles da,95,36,32,-4,-11.11111111,,+436232 / 2265
41805,Eberstalzell,Nein,Alles da,125,50,46,-4,-8,Konnte keine Unterscheidung zwischen Kindergarten und Krabbelstube treffen.,+437241 / 5555
40609,Lasberg,Nein,Alles da,66,17,14,-3,-17.64705882,Abmeldungen wegen Kosten,+437947 / 7255 - 0
40818,Neumarkt im Hausruckkreis,Nein,Alles da,33,23,20,-3,-13.04347826,,+437733 / 7254
40827,Schlüßlberg,Nein,Alles da,110,17,14,-3,-17.64705882,,+437248 / 66 0 66 - 0
40832,Wallern an der Trattnach,Nein,Alles da,100,33,30,-3,-9.090909091,"Gab drei Abmeldungen, die alle nicht wegen der Gebühren stattgefunden haben (berufliche Veränderungen, etc.)",+437249 / 48 1 26 - 0
41006,Hargelsberg,Nein,Alles da,87,28,25,-3,-10.71428571,,+437225 / 7255
41125,Waldhausen im Strudengau,Nein,Alles da,86,13,10,-3,-23.07692308,,+437260 / 4505
41234,Waldzell,Nein,Alles da,82,18,15,-3,-16.66666667,"Von den 15: 6 aus Schildorn, 9 aus Waldzell",+437754 / 2255
41329,Neustift im Mühlkreis,Nein,Alles da,55,10,7,-3,-30,,+437284 / 8155
41335,Sankt Stefan am Walde,Nein,Alles da,26,8,5,-3,-37.5,Teilweise Kinder aus Afisl im Kindergarten; Betreuung nur an einem Nachmittag,+437216 / 7010 - 0
41513,Rohr im Kremstal,Nein,Alles da,60,18,15,-3,-16.66666667,,+437258 / 2207
41613,Kirchschlag bei Linz,Nein,Alles da,68,18,15,-3,-16.66666667,es sind zw. 9 und 21 Kinder anwesend (je nach tag),+437215 / 2285
40922,Wartberg an der Krems,Ja,Alles da,n.v.,12,10,-2,-16.66666667,,+437587 / 7055 - 0
40424,Moosbach,Nein,Alles da,34,13,11,-2,-15.38461538,Nur drei Tage Nachmittagsbetreuung (Di-Do) wegen geringer Nachfrage.,+437724 / 2857
40610,Leopoldschlag,Nein,Alles da,31,7,5,-2,-28.57142857,,+437949 / 8255 - 0
40618,Sankt Oswald bei Freistadt,Nein,Alles da,85,20,18,-2,-10,Abmeldungen aus finanziellen Gründen,+437945 / 7255
40807,Geboltskirchen,Nein,Alles da,40,15.5,13.5,-2,-12.90322581,"Nur Montag und Mittwoch - Montag vorher 12, jetzt 10; MIttwoch vorher 19, ,jetzt 17",+437732 / 3513
40833,Weibern,Nein,Alles da,65,20,18,-2,-10,"vor Einführung der Gebühren bedeutete die Anmeldung für die Nachmittagsbetreuung, dass die Kinder nicht fix an gewissen Tagen dort waren, sondern kommen konnten, wenn die Eltern mal keine Zeit hatten --> die beiden Abmeldungen waren Kinder, die dieses Angebot wahrgenommen haben",+437732 / 2555
41102,Arbing,Nein,Alles da,55,14,12,-2,-14.28571429,Abmeldungen wegen Gebühren,+437269 / 375 - 0
41109,Langenstein,Nein,Alles da,84,42,40,-2,-4.761904762,,+437237 / 2370
41209,Hohenzell,Nein,Alles da,58,26,24,-2,-7.692307692,Abmeldungen wegen der Gebühren,+437752 / 85 7 15
41232,Tumeltsham,Nein,Alles da,60,5,3,-2,-40,"Gemeinderat hat beschlossen, dass mit April eine flexible Betreuung eingeführt - dadurch ist von April bis Juli die Betreuung wieder kostenlos. Stundenmaß der Betreuuerinnen dennoch gekürzt",+437752 / 82 2 55
41317,Kollerschlag,Nein,Alles da,45,13,11,-2,-15.38461538,Betreuung von 1 auf 2 Nachmittage aufgestockt,+437287 / 8155
41325,Oepping,Nein,Alles da,39,16,14,-2,-12.5,,+437289 / 8235
41326,Peilstein im Mühlviertel,Nein,Alles da,63,16,14,-2,-12.5,,+437287 / 7203
41331,Sankt Johann am Wimberg,Nein,Alles da,36,14,12,-2,-14.28571429,"Die Herausforderung kommt im Herbst, weil dann die Kinder in die Schule kommen und wenn es nur noch 8 Kinder gibt muss der Kindergarten zusperren. ",+437217 / 7155
41334,Sankt Peter am Wimberg,Nein,Alles da,62,33,31,-2,-6.060606061,,+437282 / 8055 - 15
41410,Freinberg,Nein,Alles da,41,28,26,-2,-7.142857143,"Nachmittagsbetreuung beinhaltet Schulvorbereitungsprogramm. Auf Absprache mit Eltern blieben die meisten Kinder vorerst in NM-Betreuung. Ab Herbst kommt das Vorbereitungsprogramm i.d. Vormittag, dann wird mit mehr Abmeldungen gerechnet",+437713 / 8102
41516,Sierning,Nein,Alles da,62,23,21,-2,-8.695652174,,+437259 / 2255
41621,Sankt Gotthard im Mühlkreis,Nein,Alles da,40,17,15,-2,-11.76470588,Zwei Kinder wegen Malwerkstatt in der Nachmittagsbetreuung. Diese haben sich abgemeldet. ,+437234 / 87 0 55
41628,Vorderweißenbach,Nein,Alles da,80,24,22,-2,-8.333333333,,#N/A
41801,Aichkirchen,Nein,Alles da,20,6,4,-2,-33.33333333,"Zusammenhang mit Gebühren bei nur einer Abmeldung; Kooperation zwischen Aichkirchen, Neukirchen, Bachmanning; möglicherweise ab Herbst Auflösung Nachmittagsbetreuung, da bis jetzt nur 3 Anmeldungen; Betreuung nur bis 14:30",+437735 / 7366
41734,Sankt Georgen im Attergau,Nein,Alles da,66,21.5,20,-1.5,-6.976744186,Zahlen gelten nur für Gemeinde-Kindergarten. Sie haben auch noch Caritas-Kindergarten.,+437667 / 6255
40824,Sankt Agatha,Nein,Alles da,66,42,41,-1,-2.380952381,,+437277 / 8255 - 0
41324,Oberkappel,Nein,Alles da,43,9,8,-1,-11.11111111,Abmeldung nicht wegen Kosten sondern wegen Schwangerschaft,+437284 / 202 - 0
41405,Dorf an der Pram,Nein,Alles da,35,11,10,-1,-9.090909091,"Keine Kostengründe, sondern persönliche.",+437764 / 8455
41413,Münzkirchen,Nein,Alles da,84,11,10,-1,-9.090909091,,+437716 / 7255
41424,Sigharting,Nein,Alles da,30,12,11,-1,-8.333333333,Nachmittagsbetreuung nur an einem Tag,+437766 / 2405
41608,Goldwörth,Nein,Alles da,33,17,16,-1,-5.882352941,"Angegeben ist duchschnittliche Kinderzahl: am Di. sind es 19, am Mi. 7, am Do. 22",+437234 / 83 6 55
41718,Nußdorf am Attersee,Nein,Alles da,42,11,10,-1,-9.090909091,,+437666 / 8055
41727,Puchkirchen am Trattberg,Nein,Alles da,43,13,12,-1,-7.692307692,,+437682 / 7228
41735,Sankt Lorenz,Nein,Alles da,65,17,16,-1,-5.882352941,,+436232 / 2265
41741,Straß im Attergau,Nein,Alles da,41,14,13,-1,-7.142857143,Abmeldungen wegen der Kosten und weil es keinen Ein-Tages-Tarif gibt.,+437667 / 7112
41748,Weißenkirchen im Attergau,Nein,Alles da,42,7,6,-1,-14.28571429,,+437684 / 6355
41224,Reichersberg,Nein,Alles da,26,6.5,6,-0.5,-7.692307692,"Ein Tag 7 Kinder, ein Tag 6 Kinder",+437758 / 2315
40405,Burgkirchen,Nein,Alles da,65,24,24,0,0,Nicht alle Kinder sind fünf Tage anwesend (pro Tag 14-18 Kinder).,+437724 / 2212
40407,Feldkirchen bei Mattighofen,Nein,Alles da,62,13,13,0,0,Vorher schon Gebühren waren also nicht betroffen. VS+Kindergartenkinder in einer Gruppe,+437748 / 2365
40409,Geretsberg,Nein,Alles da,20,7.5,7.5,0,0,Nur ein Nachmittag pro Woche mit 5-10 Kindern. Eltern können sich flexibel eintragen. Ab September sind zwei Gruppen vorgesehen. Aktuell kooperation mit Ettelsberg.,+437748 / 7155
40430,Perwang am Grabensee,Nein,Alles da,,20,20,0,0,"Frust bei Eltern spürbar, aber keine Abmeldungen.",+436217 / 8247
40431,Pfaffstätt,Nein,Alles da,43,10,10,0,0,,+437742 / 2355
40439,Sankt Radegund,Nein,Alles da,22,12,12,0,0,Kindergartenkinder und Volksschulkinder sind gemeinsam in der NMB ( 12+5),+436278 / 200 55
40446,Weng im Innkreis,Nein,Alles da,,2.5,2.5,0,0,Keine Abmeldung. Gemeinde übernimmt bis neuem Kindergartenjahr die Kosten.,+437723 / 5055
40510,Sankt Marienkirchen an der Polsenz,Nein,Alles da,63,14,14,0,0,"An einem Tag 10-12 und an einem Tag 16-18. Mehr Eltern nutzen seit den Regelungen den zweiten Tag mit Nachmittagsbetreuung zusätzlich, da sie beide bezahlen müssen.",+437249 / 47 1 12 - 0
40619,Schönau im Mühlkreis,Nein,Alles da,56,11,11,0,0,,+437261 / 7255
40622,Unterweitersdorf,Nein,Alles da,72,33,33,0,0,,+437235 / 63 0 14
40623,Waldburg,Nein,Alles da,50,10,10,0,0,"Nachmittagsbetreuung nur an zwei Tagen. (1x 11 Kinder, 1x 10 Kinder). Gemeinde hat einen Tagestarif eingeführt (nach Eigenangaben gegen den Willen des Landes)",+437942 / 8300
40625,Weitersfelden,Nein,Alles da,35,5,5,0,0,Nur ein Tag pro Woche Nachmittagsbetreuung,+437952 / 6255 - 0
40709,Hallstatt,Nein,Alles da,16,7,7,0,0,,+436134 / 8255 - 0
40714,Pinsdorf,Nein,Alles da,128,38,38,0,0,,+437612 / 639 55
40717,Sankt Wolfgang im Salzkammergut,Nein,Alles da,45,12.5,12.5,0,0,,+436138 / 2312 - 0
40801,Aistersheim,Nein,Alles da,36,12,12,0,0,"Gemeinde übernimt alle Elternbeiträge, deshalb keine Abmeldungen. ",+437734 / 2855
40810,Heiligenberg,Nein,Alles da,18,7.5,7.5,0,0,"Keine Änderung, variiert täglich zwischen 5 und 10 Kinder",+437277 / 2293 - 0
40815,Michaelnbach,Nein,Alles da,37,8,8,0,0,"Seit drei Jahren gibt es eine Nachmittagsbetreuung bei der eine Tagesmutter im Kindergarten die Kinder betreut. War schon kostenpflichtig, dadurch betrifft das neue Gesetz den Kindergarten nicht",+437277 / 2555
40816,Natternbach,Nein,Alles da,74,13,13,0,0,"Je nach Tag verschiedene Anzahl von Kindern min. 12 max. 15, gab keine Abmeldungen wegen Gebühren.",+437278 / 8255 - 0
