gkz,name,nur Caritas?,Kategorie,Kinder insgesamt,Jänner: Kinder in Nachmittagsbetreuung,März: Kinder in Nachmittagsbetreuung,Differenz,Prozentuelle Änderung,Karte-Text,Telefonnummer
40825,Sankt Georgen bei Grieskirchen,Nein,Alles da,56,20,20,0,0,Kinder in Grieskirchen,+437248 / 62 4 63
40826,Sankt Thomas,Nein,Alles da,86,12,12,0,0,"Kinder werden von Tagesmüttern betreut, nicht reguläre Nachmittags-Betreuung",+437277 / 7212
40834,Wendling,Nein,Alles da,23,9,9,0,0,"Gab seither eine An- und eine Abmeldung, die nichts mit der Einführung der Gebühren zu tun hatten",+437736 / 6191 - 0
40903,Hinterstoder,Nein,Alles da,15,7,7,0,0,,+437564 / 5255 - 0
40907,Kremsmünster,Nein,Alles da,200,100,100,0,0,,+437583 / 5255
40910,Nußbach,Nein,Alles da,75,18,18,0,0,,+437587 / 8255 - 14
40915,Roßleithen,Nein,Alles da,65,10,10,0,0,,+437562 / 5230
41007,Hörsching,Nein,Alles da,127,36,36,0,0,"Für Nachmittagsbetreuung war immer eine Arbeitszeitbestätigung notwendig, dh. war Abmeldung für die meisten Eltern keine Option, allerdings gab es Ummeldungen auf weniger Nachmittage",+43 7221 / 72 1 55
41104,Dimbach,Nein,Alles da,23,4,4,0,0,,+437260 / 7507
41107,Klam,Nein,Alles da,26,5,5,0,0,,+437269 / 7255
41115,Pabneukirchen,Nein,Alles da,58,24,24,0,0,"Do & Di Nachmittagsbetreuung, Di 16, Do 26, genausoviele Abmeldungen wie Anmeldungen (2), diese aber wegen der Gebühren",+437265 / 5255
41201,Andrichsfurt,Nein,Alles da,32,8,8,0,0,Nachmittagsbetreuung über Verein Tagesmutter geführt und war immer schon kostenpflichtig,+437750 / 3213
41211,Kirchheim im Innkreis,Nein,Alles da,24,5,5,0,0,Fünf Kinder bei Tagesmüttern am Nachmittag.,+437755 / 6415
41213,Lohnsburg am Kobernaußerwald,Nein,Alles da,60,12,12,0,0,"Zwei Abmeldungen aus Kostengründen, es gab aber auch wieder zwei Anmeldungen",+437754 / 4110-0
41215,Mettmach,Nein,Alles da,82,39,39,0,0,,+437755 / 7255
41219,Obernberg am Inn,Nein,Alles da,42,11,11,0,0,,+437758 / 2255 - 0
41310,Helfenberg,Nein,Alles da,40,10,10,0,0,"Keine Änderungen, Kinder aus Ahorn sind dabei",+437216 / 7013
41512,Reichraming,Nein,Alles da,41,6,6,0,0,"Es gab schon vorher eine von der Gemeinde geregelte, kostenpflichtige, private Nachmittagsbetreuung. Deshalb gab es keine Umstellung.",+437255 / 6600
41615,Oberneukirchen,Nein,Alles da,104,39,39,0,0,,+437212 / 7055
41719,Oberhofen am Irrsee,Nein,Alles da,53,16,16,0,0,,+436213 / 8215 - 0
41723,Pfaffing,Nein,Alles da,38,14,14,0,0,"Bis Juli übernimmt die Gemeinde die Kosten für die Nachmittagsbetreuung, die Gemeinde schätzt dass sich sonst schon 6-7 Kinder abgemeldet hätten",+437682 / 6355
41743,Timelkam,Nein,Alles da,85,23,23,0,0,"Drei Kinder abgemeldet, gleichzeitig drei angemeldet. ",+437672 / 95 1 05 - 0
41745,Unterach am Attersee,Nein,Alles da,39,15,15,0,0,"Abmeldung von einzelnen Tagen, aber keine kompletten Abmeldungen.",+437665 / 8255
41810,Krenglbach,Nein,Alles da,194,33,33,0,0,,+437249 / 46013
40412,Handenberg,Nein,keine Auskunft,,,,0,,,+437748 / 8085 - 0
40501,Alkoven,Nein,keine Auskunft,,,,0,,,+437274 / 8000
40502,Aschach an der Donau,Nein,keine Auskunft,,,,0,,,+437273 / 6355
40507,Hinzenbach,Nein,keine Auskunft,,4,4,0,0,"Nur von 13:30 bis 14:00, Kinder nur 2-3 Tage in Betreuung",+437272 / 2460
40611,Liebenau,Nein,keine Auskunft,,,,0,,,+437953 / 8111 - 0
40626,Windhaag bei Freistadt,Nein,keine Auskunft,,,,0,,,+437943 / 6111
40704,Ebensee,Nein,keine Auskunft,,,,0,,,+436133 / 7051
40710,Kirchham,Nein,keine Auskunft,,13,13,0,0,"Zwei Abmeldungen wegen Gebühren, aber zwei Anmeldungen zusätzlich.",+437619 / 2015
40716,Sankt Konrad,Nein,keine Auskunft,,,,0,,Kindergarten vier Mal kontaktiert. Keine Rückmeldung.,+437615 / 8029
40720,Vorchdorf,Nein,keine Auskunft,,,,0,,"Keine signifikante Veränderung; Amtsleiter behauptet, keine finanziellen Hintergründe bei etwaigen Abmeldungen",+437614 / 6555
40822,Pram,Nein,keine Auskunft,,,,0,,,+437736 / 6255
40829,Taufkirchen an der Trattnach,Nein,keine Auskunft,,,,0,,,+437734 / 4010
40909,Molln,Nein,keine Auskunft,,,,0,,,+437584 / 2255
40921,Vorderstoder,Nein,keine Auskunft,,,,0,,,+437564 / 8255
41001,Allhaming,Nein,keine Auskunft,,,,0,,,+437227 / 71 55
41003,Asten,Nein,keine Auskunft,,,,0,,,+437224 / 66381 - 0
41010,Kirchberg-Thening,Nein,keine Auskunft,,,,0,,,+437221 / 63 0 03
41011,Kronstorf,Nein,keine Auskunft,,,,0,,,+437225 / 8256 - 10
41016,Oftering,Nein,keine Auskunft,,,,0,,,+437221 / 63 5 41
41021,Traun,Nein,keine Auskunft,,,,0,,,+437229 / 688 - 0
41103,Baumgartenberg,Nein,keine Auskunft,,,,0,,,+437269 / 255
41124,Schwertberg,Nein,keine Auskunft,104,,,0,,,+437262 / 61 1 55
41205,Eitzing,Nein,keine Auskunft,,,,0,,,+437752 / 83 0 37
41210,Kirchdorf am Inn,Nein,keine Auskunft,,,,0,,,+437758 / 2815
41218,Neuhofen im Innkreis,Nein,keine Auskunft,,,,0,,Datenschutzbedenken,+437752 / 82155
41231,Taiskirchen im Innkreis,Nein,keine Auskunft,,,,0,,Nähere Infos bei Kindergarten - dort trotz mehrfachen Versuch keine Rückmeldung.,+437764 / 8257-0
41313,Julbach,Nein,keine Auskunft,,,,0,,,+437288 / 8155
41343,Aigen-Schlägl,Nein,keine Auskunft,,,,0,,,+437281 / 6255
41414,Raab,Nein,keine Auskunft,,,,0,,,+437762 / 2255
41416,Riedau,Nein,keine Auskunft,,,,0,,,+437764 / 8255
41417,Sankt Aegidi,Nein,keine Auskunft,,,,0,,,+437717 / 7355
41419,Sankt Marienkirchen bei Schärding,Nein,keine Auskunft,,,,0,,,+437711 / 2254 - 0
41422,Schärding,Nein,keine Auskunft,,,,0,,,+437712 / 3154
41426,Taufkirchen an der Pram,Nein,keine Auskunft,,,,0,,wollen die Daten nicht geben,+437719 / 7255
41504,Dietach,Nein,keine Auskunft,,,,0,,,+437252 / 38 0 01
41508,Laussa,Nein,keine Auskunft,,,,0,,,+437255 / 7255
41510,Maria Neustift,Nein,keine Auskunft,,,,0,,,+437250 / 625
41607,Gallneukirchen,Nein,keine Auskunft,,,,0,,,+437235 / 63155
41619,Reichenau im Mühlkreis,Nein,keine Auskunft,,,,0,,Kinder aus Haibach im Mühlkreis und Ottenschlag im Mühlkreis sind hier.,+437211 / 8255 - 0
41627,Zwettl an der Rodl,Nein,keine Auskunft,,,,0,,,+437212 / 6555
41703,Attnang-Puchheim,Nein,keine Auskunft,,,,0,,"Konkrete Daten von Abmeldungen konnte sie nicht sagen, die kriegt sie erst nach ostern von den kindergärten. aber einer der drei Kindergärten, der private, musste die Nachmittagsbetreuung schließen weil es zu wenige Kinder gab also viele Abmeldungen (wenn auch keine konkreten Zahlen)",+437674 / 615 - 0
41739,Seewalchen am Attersee,Nein,keine Auskunft,,,,0,,,+437662 / 4491 - 0
41804,Buchkirchen,Nein,keine Auskunft,,,,0,,,+437242 / 28 0 05
41806,Edt bei Lambach,Nein,keine Auskunft,,,,0,,,+437245 / 28991
41807,Fischlham,Nein,keine Auskunft,,,,0,,,+437241 / 2203
41808,Gunskirchen,Nein,keine Auskunft,,,,0,,,+437246 / 6255
41813,Neukirchen bei Lambach,Nein,keine Auskunft,,,,0,,,+437245 / 27 0 55
41814,Offenhausen,Nein,keine Auskunft,,,,0,,,+437247 / 6155
41824,Weißkirchen an der Traun,Nein,keine Auskunft,,,,0,,,+437243 / 56 1 55 - 0
40401,Altheim,Ja,Caritas oder andere private Erhalter,,,,0,,,+437723 / 42255
40419,Lochen am See,Ja,Caritas oder andere private Erhalter,,,,0,,,+437745 / 8255
40422,Mauerkirchen,Ja,Caritas oder andere private Erhalter,,,,0,,,+437724 / 2855
40426,Munderfing,Ja,Caritas oder andere private Erhalter,,,,0,,,+437744 / 6255
40427,Neukirchen an der Enknach,Ja,Caritas oder andere private Erhalter,,,,0,,,+437729 / 2255 - 0
40428,Ostermiething,Ja,Caritas oder andere private Erhalter,,,,0,,,+436278 / 6255
40508,Prambachkirchen,Ja,Caritas oder andere private Erhalter,,,,0,,,+437277 / 2302 - 0
40603,Gutau,Ja,Caritas oder andere private Erhalter,,,,0,,,+437946 / 6255
40604,Hagenberg im Mühlkreis,Ja,Caritas oder andere private Erhalter,,,,0,,,+437236 / 2318 - 0
40605,Hirschbach im Mühlkreis,Ja,Caritas oder andere private Erhalter,,,,0,,,+437948 / 8701 - 0
40620,Tragwein,Ja,Caritas oder andere private Erhalter,,,,0,,,+437263 / 86055
40621,Unterweißenbach,Ja,Caritas oder andere private Erhalter,,,,0,,,+437956 / 7255 - 0
40624,Wartberg ob der Aist,Ja,Caritas oder andere private Erhalter,,,,0,,,+437236 / 3700
40627,Bad Zell,Ja,Caritas oder andere private Erhalter,,,,0,,,+437263 / 7255
40701,Altmünster,Ja,Caritas oder andere private Erhalter,,,,0,,,+437612 / 87611
40702,Bad Goisern am Hallstättersee,Ja,Caritas oder andere private Erhalter,,,,0,,,+436135 / 8301 - 0
40707,Grünau im Almtal,Ja,Caritas oder andere private Erhalter,,,,0,,,+437616 / 8255 - 0
40802,Bad Schallerbach,Ja,Caritas oder andere private Erhalter,,,,0,,,+437249 / 48 5 55
40806,Gaspoltshofen,Ja,Caritas oder andere private Erhalter,,,,0,,,+437735 / 6954
40809,Haag am Hausruck,Ja,Caritas oder andere private Erhalter,,,,0,,,+437732 / 2255
40811,Hofkirchen an der Trattnach,Ja,Caritas oder andere private Erhalter,,,,0,,"Viele Kinder nur einen Nachmittag in Betreuung, aber zwei waren zu bezahlen - daher mehr Kinder in der Betreuung geworden. ",+437734 / 2255
40813,Kematen am Innbach,Ja,Caritas oder andere private Erhalter,,,,0,,Caritas für Kinderbetreuung zuständig,+437247 / 6655
40817,Neukirchen am Walde,Ja,Caritas oder andere private Erhalter,,,,0,,,+437278 / 3255
40831,Waizenkirchen,Ja,Caritas oder andere private Erhalter,,,,0,,"Caritas, nicht betroffen von den Gebühren",+437277 / 2255
40912,Pettenbach,Ja,Caritas oder andere private Erhalter,,,,0,,,+437586 / 8155 - 0
40918,Spital am Pyhrn,Ja,Caritas oder andere private Erhalter,,,,0,,,+437563 / 255
40920,Steinbach an der Steyr,Ja,Caritas oder andere private Erhalter,,,,0,,,+437257 / 7203 - 13
40923,Windischgarsten,Ja,Caritas oder andere private Erhalter,,,,0,,,+437562 / 5255 - 0
41004,Eggendorf im Traunkreis,Ja,Caritas oder andere private Erhalter,,,,0,,,+437228 / 7265
41009,Kematen an der Krems,Ja,Caritas oder andere private Erhalter,,,,0,,,+437228 / 7255
41013,Sankt Florian,Ja,Caritas oder andere private Erhalter,,,,0,,,+437224 / 4255
41014,Neuhofen an der Krems,Ja,Caritas oder andere private Erhalter,,,,0,,,+437227 / 4255
41018,Piberbach,Ja,Caritas oder andere private Erhalter,,,,0,,,+437228 / 8214
41020,Sankt Marien,Ja,Caritas oder andere private Erhalter,,,,0,,,+437227 / 8155
41022,Wilhering,Ja,Caritas oder andere private Erhalter,,,,0,,,+437226 / 2255
41105,Grein,Ja,Caritas oder andere private Erhalter,,,,0,,,+437268 / 255
41106,Katsdorf,Ja,Caritas oder andere private Erhalter,,,,0,,,+437235 / 881 55 10
41118,Ried in der Riedmark,Ja,Caritas oder andere private Erhalter,,,,0,,,+437238 / 2055
41120,Sankt Georgen an der Gusen,Ja,Caritas oder andere private Erhalter, ,,,0,,,+437237 / 2255
41203,Aurolzmünster,Ja,Caritas oder andere private Erhalter,,,,0,,,+437752 / 83055
41223,Pramet,Ja,Caritas oder andere private Erhalter,,,,0,,,+437754 / 8450
41228,Sankt Martin im Innkreis,Ja,Caritas oder andere private Erhalter,,,,0,,,+437751 / 8255 - 0
41304,Altenfelden,Ja,Caritas oder andere private Erhalter,,,,0,,,+437282 / 5555
41309,Haslach an der Mühl,Ja,Caritas oder andere private Erhalter,,,,0,,,+437289 / 71 7 50 - 0
41316,Kleinzell im Mühlkreis,Ja,Caritas oder andere private Erhalter,,,,0,,,+437282 / 5355 - 0
41320,Nebelberg,Ja,Caritas oder andere private Erhalter,,,,0,,,+437287 / 7640
41328,Putzleinsdorf,Ja,Caritas oder andere private Erhalter,,,,0,,,+437286 / 8276 - 0
41332,Sankt Martin im Mühlkreis,Ja,Caritas oder andere private Erhalter,,,,0,,,+437232 / 2105 - 0
41342,Ulrichsberg,Ja,Caritas oder andere private Erhalter,,,,0,,Caritas-Kindergarten,+437288 / 7031
41406,Eggerding,Ja,Caritas oder andere private Erhalter,,,,0,,,+437767 / 7007 - 0
41411,Kopfing im Innkreis,Ja,Caritas oder andere private Erhalter,,,,0,,,+437763 / 2205
41423,Schardenberg,Ja,Caritas oder andere private Erhalter,,,,0,,,+437713 / 70 55
41502,Aschach an der Steyr,Ja,Caritas oder andere private Erhalter,,,,0,,,+437259 / 3412 - 0
41503,Bad Hall,Ja,Caritas oder andere private Erhalter,,,,0,,,+437258 / 77 55 - 0
41506,Garsten,Ja,Caritas oder andere private Erhalter,,,,0,,,+437252 / 53 3 07
41507,Großraming,Ja,Caritas oder andere private Erhalter,,,,0,,,+437254 / 7575
41511,Pfarrkirchen bei Bad Hall,Ja,Caritas oder andere private Erhalter,,,,0,,Caritas Kindergarten,+437258 / 2433
41517,Ternberg,Ja,Caritas oder andere private Erhalter,,,,0,,,+437256 / 6001
41518,Waldneukirchen,Ja,Caritas oder andere private Erhalter,,,,0,,,+437258 / 3812
